,peak_velocity,start_timestamp,end_x,eye,start_x,start_y,duration,length,end_y,end_timestamp
278,219.0,3681712.0,1009.7,R,948.9,592.5,24.0,1.74,590.1,3681735.0
279,150.0,3681948.0,954.7,R,995.3,585.5,23.0,1.21,574.1,3681970.0
280,122.0,3682352.0,978.0,R,962.3,586.8,27.0,0.7,604.5,3682378.0
281,102.0,3682744.0,944.6,R,976.2,607.5,17.0,0.91,603.7,3682760.0
282,173.0,3683070.0,987.0,R,950.6,601.6,23.0,1.06,608.3,3683092.0
283,78.0,3683903.0,959.2,R,982.7,602.2,10.0,0.68,600.0,3683912.0
284,72.0,3684217.0,937.8,R,958.4,590.1,11.0,0.64,582.4,3684227.0
285,174.0,3684529.0,973.2,R,938.0,589.6,22.0,1.16,608.4,3684550.0
286,100.0,3684968.0,948.0,R,976.7,611.4,18.0,0.82,612.1,3684985.0
287,181.0,3685337.0,1006.7,R,941.9,623.3,22.0,1.87,629.1,3685358.0
288,136.0,3685698.0,940.8,R,990.8,613.6,19.0,1.43,614.3,3685716.0
289,91.0,3686345.0,973.9,R,960.8,604.7,18.0,0.47,614.1,3686362.0
290,54.0,3686660.0,959.6,R,971.8,613.0,8.0,0.39,607.3,3686667.0
291,130.0,3687722.0,967.2,R,932.7,608.2,20.0,1.05,619.5,3687741.0
292,234.0,3688006.0,1033.8,R,955.3,591.9,21.0,2.25,594.6,3688026.0
293,255.0,3688603.0,932.1,R,1032.7,589.9,27.0,2.88,591.3,3688629.0
294,59.0,3688884.0,958.4,R,946.8,588.1,16.0,0.35,584.8,3688899.0
295,98.0,3689728.0,954.6,R,920.7,582.9,16.0,0.98,579.7,3689743.0
296,57.0,3691204.0,957.7,R,955.3,556.1,12.0,0.39,568.7,3691215.0
297,115.0,3691631.0,975.7,R,943.5,567.4,20.0,0.94,572.7,3691650.0
298,66.0,3691924.0,954.2,R,973.9,573.5,12.0,0.57,570.5,3691935.0
299,45.0,3692348.0,959.3,R,956.9,572.1,6.0,0.24,579.5,3692353.0
300,55.0,3692761.0,957.8,R,968.4,593.3,6.0,0.34,588.2,3692766.0
301,49.0,3693109.0,944.4,R,956.9,593.2,6.0,0.37,590.6,3693114.0
302,77.0,3693667.0,953.8,R,935.3,583.5,14.0,0.55,588.0,3693680.0
303,81.0,3694050.0,941.6,R,938.0,589.6,21.0,0.28,598.0,3694070.0
304,83.0,3694121.0,967.3,R,942.7,591.2,18.0,0.72,596.5,3694138.0
305,59.0,3694619.0,941.3,R,957.1,591.7,8.0,0.48,597.2,3694626.0
306,93.0,3695134.0,978.1,R,950.1,594.2,15.0,0.82,589.4,3695148.0
